HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,stats_sum_diff,First_win,First_pokemon_Legendary,Second_pokemon_Legendary
-20,-6,10,-15,10,-19,-40,0,0,0
0,-39,-18,18,39,0,0,0,1,1
-20,-35,10,-45,10,0,-80,0,0,0
-37,-80,-50,10,-50,-28,-235,0,0,0
50,50,-105,105,-160,50,-10,1,0,0
-10,-3,-100,7,-100,5,-201,1,0,0
-25,0,10,-45,-50,-25,-135,0,0,0
-80,-20,-70,-65,-85,-55,-375,0,0,1
0,12,28,-23,-28,-29,-40,0,0,0
5,-25,-10,5,-20,-5,-50,0,0,0
10,10,-25,-40,-25,-25,-95,0,0,0
53,99,5,17,25,78,277,1,1,0
-50,-90,-35,-60,-65,-30,-330,0,0,0
-25,-15,15,15,-10,25,5,1,0,0
30,70,100,1,70,5,276,1,0,0
-27,-32,11,3,12,-21,-54,0,0,0
40,0,5,-30,-5,-55,-45,0,0,1
-55,-60,-20,-20,15,0,-140,0,0,0
20,95,-62,90,-80,62,125,1,0,0
-21,45,0,1,-25,41,41,1,0,0
-1,-59,-32,21,6,-20,-85,0,0,0
26,-8,-15,-35,-30,0,-62,0,0,0
-5,-15,-40,-80,-5,-40,-185,0,0,0
35,10,20,-100,-60,20,-75,1,0,0
-10,-40,-10,-5,-10,-73,-148,0,0,0
6,-60,10,-30,54,20,0,1,1,1
-25,-31,15,14,-5,-44,-76,0,0,0
-4,-11,26,8,0,-26,-7,0,0,0
-5,-20,16,-55,-9,40,-33,1,0,0
-16,61,36,-35,-33,5,18,1,0,0
-3,65,-40,-35,-50,-42,-105,0,0,0
-5,-50,-10,5,60,-40,-40,0,0,0
-10,-15,-25,35,5,-100,-110,0,0,0
5,25,47,65,32,36,210,1,0,0
-30,-50,-63,0,-25,38,-130,0,0,0
11,-81,-82,-3,-38,-32,-225,0,0,0
12,45,29,5,29,-12,108,0,0,0
-22,-20,20,-75,-30,2,-125,1,0,0
33,-30,16,20,51,-45,45,0,0,0
10,-10,4,-30,4,-23,-45,0,0,0
15,-10,15,-29,-5,-22,-36,0,0,0
44,-11,15,12,35,12,107,1,0,0
-25,-43,-2,-55,-15,-50,-190,1,0,0
